source,participant_ID,target_word,comment,latency,duree_mot,condition,n_phonemes,Offset,Notes,word_duration,transcript,phoneme_count
s102citrouille_ov2_bmpnaming,s102,citrouille,ok,442.765,660.7386816,ov2,10,1106,FALSE,663.235,sitʀujl,7
s102classeur_neut_bmpnaming,s102,classeur,ok,586.363,560.8595786,neut,8,1164,FALSE,577.637,klasœʀ,6
s102classeur_ov2_bmpnaming,s102,classeur,ok,573.795,562.9975719,ov2,8,1117,FALSE,543.205,klasœʀ,6
s102clavier_neut_bmpnaming,s102,clavier,ok,703.857,401.1056192,neut,7,1107,FALSE,403.143,klavjəʀ,7
s102clavier_ov2_bmpnaming,s102,clavier,ok,862.399,413.6385746,ov2,7,1275,FALSE,412.601,klavjəʀ,7
s102cochon_neut_bmpnaming,s102,cochon,ok,637.045,403.6554922,neut,6,1048,FALSE,410.955,kɔʃɔ̃,4
s102cochon_ov2_bmpnaming,s102,cochon,ok,914.591,383.5444582,ov2,6,1306,FALSE,391.409,kɔʃɔ̃,4
s102collier_neut_bmpnaming,s102,collier,ok,599.588,358.3002893,neut,7,958,FALSE,358.412,kɔljəʀ,6
s102collier_ov2_bmpnaming,s102,collier,ok,686.845,318.2388908,ov2,7,1005,FALSE,318.155,kɔljəʀ,6
s102couteau_neut_bmpnaming,s102,couteau,ok,1030.385,341.2879146,neut,7,1370,FALSE,339.615,kuto,4
s102couteau_ov2_bmpnaming,s102,couteau,ok,789.468,271.592057,ov2,7,1062,FALSE,272.532,kuto,4
s102cuisine_neut_bmpnaming,s102,cuisine,ok,764.224,485.6187063,neut,7,1248,FALSE,483.776,kɥizin,6
s102cuisine_ov2_bmpnaming,s102,cuisine,ok,550.197,572.3269386,ov2,7,1124,FALSE,573.803,kɥizin,6
s102diamant_neut_bmpnaming,s102,diamant,ok,480.501,458.7281786,neut,7,936,FALSE,455.499,djamɑ̃,5
s102diamant_ov2_bmpnaming,s102,diamant,ok,617.698,472.9966219,ov2,7,1094,FALSE,476.302,djamɑ̃,5
s102fourchette_neut_bmpnaming,s102,fourchette,ok,580.929,567.9366484,neut,10,1085,FALSE,504.071,fuʀʃɛt,6
s102fourchette_ov2_bmpnaming,s102,fourchette,ok,653.918,526.7776774,ov2,10,1134,FALSE,480.082,fuʀʃɛt,6
